Date,Shares,Ticker,Cost
3/19/13,0.0613,VEMSX,
3/21/13,0.3197,VIFSX,
3/21/13,0.6414,VTSGX,
3/28/13,0.1646,VBTSX,
3/28/13,0.1491,VBTSX,
3/28/13,-0.1491,VBTSX,
3/28/13,0.1254,VBTSX,
3/28/13,0.0073,VBTSX,
4/3/13,0.704,VIFSX,83.28
4/3/13,1.873,VEMSX,80.82
4/3/13,2.6464,VTSGX,80.82
8/29/13,0.0008,VEMSX,
6/15/07,2.181,FOCPX,100
7/2/07,-0.043,FOCPX,
7/2/07,0,FOCPX,
7/6/07,4.511,FOCPX,214.95
8/7/07,5.513,FOCPX,260.93
9/10/07,5.499,FOCPX,260.93
10/1/07,-0.039,FOCPX,
10/1/07,0,FOCPX,
10/12/07,2.886,FOCPX,156.56
10/12/07,8.493,FFFHX,104.37
11/9/07,3.074,FOCPX,156.56
11/9/07,8.958,FFFHX,104.37
12/7/07,3.155,FOCPX,167.41
12/7/07,9.379,FFFHX,111.61
12/28/07,0.561,FFFHX,
1/2/08,-0.039,FOCPX,
1/2/08,0,FOCPX,
1/8/08,4.492,FOCPX,215.41
1/8/08,13.236,FFFHX,143.61
2/12/08,3.303,FOCPX,143.61
2/12/08,10.346,FFFHX,107.7
2/12/08,1.885,FICDX,107.71
3/6/08,3.401,FOCPX,143.61
3/6/08,10.549,FFFHX,107.7
3/6/08,1.821,FICDX,107.71
4/1/08,-0.045,FOCPX,
4/1/08,0,FOCPX,
4/10/08,5.237,FCPGX,71.8
4/10/08,1.837,FIGRX,71.81
4/10/08,2.657,FDFFX,71.8
4/10/08,6.794,FFFHX,71.81
4/10/08,1.199,FICDX,71.8
5/9/08,2,FFFHX,
5/14/08,4.976,FCPGX,71.8
5/14/08,1.769,FIGRX,71.81
5/14/08,2.493,FDFFX,71.8
5/14/08,6.705,FFFHX,71.81
5/14/08,1.113,FICDX,71.8
6/9/08,4.955,FCPGX,71.8
6/9/08,1.795,FIGRX,71.81
6/9/08,2.429,FDFFX,71.8
6/9/08,6.832,FFFHX,71.81
6/9/08,1.099,FICDX,71.8
7/1/08,-0.068,FDFFX,
7/1/08,0,FDFFX,
7/18/08,5.359,FCPGX,71.8
7/18/08,1.971,FIGRX,71.81
7/18/08,2.702,FDFFX,71.8
7/18/08,7.38,FFFHX,71.81
7/18/08,1.188,FICDX,71.8
8/11/08,5.291,FCPGX,71.8
8/11/08,2.047,FIGRX,71.81
8/11/08,2.95,FDFFX,71.8
8/11/08,7.32,FFFHX,71.81
8/11/08,1.269,FICDX,71.8
9/5/08,5.549,FCPGX,71.8
9/5/08,2.244,FIGRX,71.81
9/5/08,3.081,FDFFX,71.8
9/5/08,7.722,FFFHX,71.81
9/5/08,1.306,FICDX,71.8
10/1/08,-0.101,FDFFX,
10/1/08,0,FDFFX,
10/14/08,7.372,FCPGX,71.8
10/14/08,2.773,FIGRX,71.81
10/14/08,4.482,FDFFX,71.8
10/14/08,6.57,FFNOX,143.61
11/13/08,7.741,FIGRX,179.51
11/13/08,8.9,FFNOX,179.51
12/5/08,0.351,FIGRX,
12/5/08,0.045,FICDX,
12/11/08,4.618,FIGRX,102.14
12/11/08,5.222,FFNOX,102.14
12/12/08,0.126,FDFFX,
12/26/08,2.22,FFFHX,
12/26/08,0.652,FFNOX,
12/30/08,0.005,FICDX,
1/2/09,-0.136,FDFFX,
1/2/09,0,FDFFX,
1/15/09,4.365,FFNOX,81.71
1/15/09,3.656,FICDX,122.57
2/11/09,15.233,FDFFX,204.28
3/4/09,3.984,FOCPX,102.14
3/4/09,3.493,FICDX,102.14
4/1/09,-0.152,FDFFX,
4/1/09,0,FDFFX,
4/6/09,24.005,FCPGX,204.28
4/17/09,0.027,FFNOX,
5/11/09,30.085,FFFHX,204.28
5/15/09,0.315,FFFHX,
6/8/09,20.186,FCPGX,204.28
7/1/09,-0.13,FDFFX,
7/1/09,0,FDFFX,
7/8/09,14.216,FDFFX,204.28
8/6/09,26.808,FFFHX,204.28
9/9/09,25.728,FFFHX,204.28
10/1/09,-0.111,FDFFX,
10/1/09,0,FDFFX,
10/14/09,2.35,FOCPX,102.14
10/14/09,2.052,FICDX,102.14
11/9/09,24.435,FFFHX,204.28
12/4/09,0.346,FIGRX,
12/4/09,24.87,FFFHX,209.9
12/4/09,0.197,FICDX,
12/11/09,0.098,FDFFX,
12/28/09,5.432,FFFHX,
12/28/09,0.532,FFNOX,
1/4/10,-0.098,FDFFX,
1/4/10,0,FDFFX,
1/7/10,24.435,FFFHX,209.9
2/5/10,26.503,FFFHX,209.9
3/4/10,25.108,FFFHX,209.9
4/1/10,-0.093,FDFFX,
4/1/10,0,FDFFX,
4/12/10,23.505,FFFHX,209.9
4/16/10,0.036,FFNOX,
5/5/10,24.464,FFFHX,209.9
5/7/10,2.277,FFFHX,
6/3/10,25.818,FFFHX,209.9
7/9/10,4.752,FOCPX,209.9
8/5/10,4.583,FOCPX,209.9
9/2/10,0.004,FOCPX,
9/7/10,4.72,FOCPX,209.9
10/8/10,4.314,FOCPX,209.9
11/5/10,7.751,FFNOX,209.9
12/3/10,0.092,FCPGX,
12/3/10,0.488,FIGRX,
12/3/10,0.317,FICDX,
12/7/10,8.195,FFNOX,220.52
12/30/10,0.053,FCPGX,
12/30/10,0.051,FIGRX,
12/30/10,6.596,FFFHX,
12/30/10,0.839,FFNOX,
12/30/10,0.003,FICDX,
1/5/11,8.104,FFNOX,220.52
2/7/11,7.85,FFNOX,220.52
3/4/11,7.8,FFNOX,220.52
